post,id
"Если бы ремонт в общежитиях делали своевременно, ставили в них кухни, а не вбухивали огромное огромное количество денег в новое здание, куда невозможно попасть ( ну окна, открывающиеся по кнопке бред же, ну зачем такое делать). И оборудование инженерам новое, а не гуманитариям все самое новое и красивое",148
"Вот бы ещё велосипедистам в МГУ было где парковаться)) а то у того же 1го ГУМа к стоянке никак не подъехать, всё заставлено электросамокатами",149
"ФДС - самая крутая общага!",150
"Новые корпуса стилистически не гармонируют со старым основным корпусом!",151
"На территории университетского кампуса, в учебных корпусах очень много атмосферных локаций, мест, где можно сделать очень крутые фото. 
",152
"Отличная общага, главное быть общительнее",153
"Норм общага, тараканы есть. В душевой, если там несколько часов никого не было, попахивает.",154
"Общежитие очень сильно зависит от факультета. Учусь на экономическом, живу в центральном районе, общагу дали в конце сентября. Да и в целом существует 3 очереди выдачи комнат в общежитии, я попал во вторую. К середине октября все волны проходят. Они формируются по отдалённости и проблемам со здоровеьем. Бюджет или платка роли вообще не играет. Так что то, что пишут про ""после первой сессии"" далеко не всегда и не везде работает",155
"Самое дешевое общежитие это 1. Это первопостройка студгородка. Раньше был пол паркет, сейчас щепки. Двери оббиты железом заплатками. Но теплое.В некоторых комнатах на первом этаже пол гниет грибок.",156
"с нынешними ценами на аренду лучше заезжать в 9 общагу и жить с удовольствием) там вполне комфортно и удобное расположение",157
"Чет заплесневелый какой-то корпус, запах постоянно неприятный",158
"После бабаевской почувствуешь себя на Манхэттене.  Туалеты — пушка, 10/10. Не было еще случая, чтобы не было бумаги. В шаговой доступности продуктовые магазины.  Единственные минусы — узкие коридоры без сидений и спертый воздух.  Ставлю этому корпусу 8/10",159
"Эстетика первого корпуса❤❤❤",160
"Потому что это общежитие лучше всех",161
"ребята, бегите от проживания в общежитии, в 4 по крайней мере. комендант неадекватная и не даст вам жить там!",162
"Общежитие как тюремные нары! Жила на 3 этаже, окна деревянные с огромными щелями, крыша постоянно протекала что и до нашего этажа затапливало. Ну и контингент конечно.
",163
"Смешно, во второй общаге забыть про тараканов",164
"Бассейн реально в не очень хорошем состоянии, мягко говоря, прям пошарпаный, ремонт прям жизненно необходим. Но вода хорошая, справедливости ради, не хлорированная.",165
"Есть вещи, которые  никогда не поменяются, санитария в столовых и белоручки на студентах, которые не могут сделать сами себе хрючево. Так сказать, Инь и Янь.",166
"так коменданты долбаебы которые утверждаются за счет студентов )))) правила выдумывают) ебаные мелкие человечешки ) пол общаги хуй пойми кого живет . особенно в 3 общаге) там есть заведующий ахуительный мужик, и комендант - попуск педант, которого пиздели все школьные годы и универские.",167
"Быт прекрасен! живёшь в мире и с понимаем к тараканам, за два дня включаешь плитку на кухне, чтобы хоть чуть чуть нагрелась(но можно купить свою плитку и в комнате готовить), если будет холодно, потихоря проносишь обогреватель что бы не замёрзнуть в этом морозильнике. Ну и вишенка на торте, можно поесть грибов на 3-4-5 этаже.",168
"Я жила в Дубках, по дороге это был полный пипец☠ 1,5-2 часа дорога перманентно, зимой иногда и правда около 3 часов выходило вечером Сейчас в Трилке, час ехать вообще с кайфом, никуда не торопишься, под автобусы не подстраиваешься, метро и элки ходят стабильно и часто (ну почти всегда, когда мцд-1 не выкидывает лютых приколов, но это не очень часто случается) По условиям, в целом, обычная, абсолютно адекватная общага, но зависит от состояния квартиры, в которую ты заезжаешь",169
"Условия в общагах в целом так себе. Самому съехать если есть возможность лучше - качество жизни возрастёт и довольно сильно",170
